,Region code,Region,Population,TIPO_DATO_AVQ,Religious observation,Live_births,Miscarriages,Abortions,Total,Time,Age range_GENERAL,Gender,Females,Early leavers absolute value,Female Early Leavers
38,ITG1,Sicilia,9817096,6_WEEK_RELIG,14.352513207571771,1.952341938745272,0.2477033834783063,0.2466574860111213,2.4467028082347,2018,18-24,,5041790,20.7,10.630949620946968
39,ITG2,Sardegna,13061610,6_WEEK_RELIG,2.802104794125686,1.0691915900900302,0.1895022407808822,0.2579890155192361,1.5166828463901485,2018,18-24,,6691600,16.5,8.453123313282207
40,ITC1,Piemonte,8622434,6_WEEK_RELIG,10.089958357466116,1.3250509541437028,0.0751543217383267,0.4061738424045491,1.8063791182865787,2019,18-24,,4432318,10.3,5.294662203271142
41,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,6_WEEK_RELIG,9.997280739638818,1.1414790996784565,0.0723472668810289,0.3697749196141479,1.5836012861736335,2019,18-24,,127826,9.7,4.958300142361278
42,ITC3,Liguria,3049652,6_WEEK_RELIG,7.902541011236692,1.3052778626620685,0.0669373262903624,0.4831128767043552,1.855328065656786,2019,18-24,,1588910,6.6,3.4386893980034445
43,ITC4,Lombardia,20055204,6_WEEK_RELIG,12.93429874859413,1.3391560969983336,0.0595600313411049,0.3361810784044673,1.7348972067439057,2019,18-24,,10230454,10.1,5.1521582827080685
44,ITD3,Veneto,9758266,6_WEEK_RELIG,11.569678465415883,1.1931095115557393,0.0576080803863555,0.2240091209448528,1.4747267128869477,2019,18-24,,4978832,7.6,3.877648262508933
45,ITD4,Friuli-Venezia Giulia,2412432,6_WEEK_RELIG,9.077976083885472,1.201088318476354,0.0671249060251315,0.3069845702216017,1.5751977947230873,2019,18-24,,1238994,7.4,3.800544678565033
46,ITD5,Emilia-Romagna,8928238,6_WEEK_RELIG,8.926733359930592,1.4232922149511926,0.0553607676693116,0.3889448805484974,1.8675978631690016,2019,18-24,,4580676,8.5,4.360966407929538
47,ITDA,Trentino Alto Adige / Südtirol,2156138,6_WEEK_RELIG,10.203428537505484,1.439035457315097,0.0405133856226097,0.2641472742594153,1.743696117197122,2019,18-24,,1093126,7.8,3.9544698901461777
48,ITE1,Toscana,7385110,6_WEEK_RELIG,8.151537350154568,1.2709215917772068,0.0639512003148366,0.3790772507350047,1.7139500428270482,2019,18-24,,3816474,8.2,4.2375925070852025
49,ITE2,Umbria,1740330,6_WEEK_RELIG,9.65334160762614,1.286549707602339,0.0499512670565302,0.3350389863547758,1.6715399610136452,2019,18-24,,900542,8.4,4.34661977900743
50,ITE3,Marche,3025344,6_WEEK_RELIG,13.453015590954283,1.2480056248140836,0.0649017009654128,0.2589307444765948,1.5718380702560912,2019,18-24,,1553962,5.6,2.8764289945209534
51,ITE4,Lazio,11511400,6_WEEK_RELIG,10.007470854978544,1.192174265236762,0.0774825224082976,0.3854755489812809,1.6551323366263406,2019,18-24,,5953038,10.2,5.274856889691957
52,ITF1,Abruzzo,2587882,6_WEEK_RELIG,11.09015016913445,1.3318691662091144,0.0478468899521531,0.2886500902031532,1.6683661463644208,2019,18-24,,1324396,4.2,2.14942690586356
53,ITF2,Molise,601032,6_WEEK_RELIG,13.809580854264,1.2140406439693852,0.0659804697809448,0.3365003958828186,1.616521509633149,2019,18-24,,305126,7.0,3.5536909848394096
54,ITF3,Campania,11424286,6_WEEK_RELIG,15.773414636153191,1.7208833191522932,0.0431066057351507,0.2445525083536657,2.008542433241109,2019,18-24,,5855054,15.7,8.046397630451478
55,ITF4,Puglia,7906610,6_WEEK_RELIG,14.924221632279826,1.4466722980482818,0.0933623794069266,0.3987907348953007,1.938825412350509,2019,18-24,,4059546,14.4,7.39349258405309
56,ITF5,Basilicata,1106508,6_WEEK_RELIG,13.19466284925188,1.00670011110737,0.0707046900777751,0.2087471802296219,1.2861519814147673,2019,18-24,,562208,8.6,4.369592266843077
57,ITF6,Calabria,3788220,6_WEEK_RELIG,15.521801796094207,1.6378932942497668,0.0732816871918838,0.2136589451243885,1.9248339265660392,2019,18-24,,1932756,16.6,8.469346975624436
58,ITG1,Sicilia,9750580,6_WEEK_RELIG,15.363188651341764,2.1166598517306974,0.0983128588952692,0.2764493590997173,2.491422069725684,2019,18-24,,5008696,20.1,10.325005240713889
59,ITG2,Sardegna,3223242,6_WEEK_RELIG,10.734533739632331,1.1719120456300551,0.054192464537806,0.3461543672352359,1.572258877403097,2019,18-24,,1639850,13.1,6.664729176400655
